unique_id,original_owner_id
Rifle-1761378779.19879-2115,748888893650239578
Malaysiasoldier2-1761378779.19879-4725,898591162233925682
Rifle-1761378779.19879-6395,898591162233925682
Kalani-1761378779.19879-3825,838304838298501130
Amiel-1761378779.19879-6475,898591162233925682
Malaysiasoldier2-1761378779.19879-4359,898591162233925682
CV-1761378779.19879-3586,898591162233925682
Mimic-1761378779.19879-8458,803113397213462588
Taxo-1761378779.19879-2225,803113397213462588
Wayne-1761378779.19879-4548,803113397213462588
Wayne-1761378779.19879-5223,803113397213462588
Synth-1761378779.19879-3061,803113397213462588
Jayden-1761378779.19879-5856,803113397213462588
Jukeboxm-1761378779.19879-3857,803113397213462588
Rifle-1761378779.19879-5851,898591162233925682
RTX Wass-1761378779.19879-2163,803113397213462588
Robrob-1761378779.19879-9332,898591162233925682
Alm-1761378779.19879-8587,898591162233925682
Rifle-1761378779.19879-2621,898591162233925682
Riyon-1761378779.19879-7840,898591162233925682
Synth-1761378779.19879-4107,898591162233925682
Amiel-1761378779.19879-7447,898591162233925682
LB-1761378779.19879-1584,898591162233925682
Robo_Layer-1761378779.19879-9065,1207314080377868322
Yoshuze-1761378779.19879-4878,898591162233925682
Doge-1761378779.19879-2865,898591162233925682
Kairo-1761378779.19879-4918,898591162233925682
SturgeonGod-1761378779.19879-7127,898591162233925682
Kalani-1761378779.19879-8853,730642159731998774
RB-1761378779.19879-1929,898591162233925682
LB-1761378779.19879-9982,898591162233925682
Riyon-1761378779.19879-3865,1207314080377868322
Nethy-1761378779.19879-2129,898591162233925682
RPG-1761378779.19879-9624,1207314080377868322
Kalani-1761378779.19879-9954,1237244832687325305
Votekick-1761378779.19879-2570,1237244832687325305
BB-1761378779.19879-2333,1237244832687325305
Korian-1761378779.19879-6972,898591162233925682
BB-1761378779.19879-2672,1237244832687325305
BB-1761378779.19879-1619,1237244832687325305
BB-1761378779.19879-8133,1237244832687325305
Taxo-1761378779.19879-4725,1237244832687325305
Yoshuze-1761378779.19879-2820,835355123341066292
Pixels-1761378779.19879-3613,898591162233925682
Alm-1761378779.19879-3369,898591162233925682
Roblocky-1761378779.19879-8829,730642159731998774
CL-1761378779.19879-8105,748888893650239578
Toast-1761378779.19879-5223,803113397213462588
Amper-1761378779.19879-3077,898591162233925682
TB-1761378779.19879-9314,898591162233925682
Votekick-1761378779.19879-8831,898591162233925682
Island-1761378779.19879-5585,898591162233925682
Pixels-1761378779.19879-6360,803113397213462588
LOR-1761378779.19879-5155,803113397213462588
TB-1761378779.19879-2906,898591162233925682
Kalani-1761378779.19879-5716,898591162233925682
Parachute-1761378779.19879-6705,898591162233925682
CA-1761378779.19879-3813,898591162233925682
BB-1761378779.19879-1888,1237244832687325305
BB-1761378779.19879-3642,1237244832687325305
BB-1761378779.19879-1397,1237244832687325305
BB-1761378779.19879-9153,1237244832687325305
Korian-1761378779.19879-6043,898591162233925682
Rifle-1761378779.19879-1660,898591162233925682
Wayne-1761378779.19879-7452,838304838298501130
SecuritySeb-1761378779.19879-1448,898591162233925682
SecuritySeb-1761378779.19879-1142,898591162233925682
Freem-1761378779.19879-7126,897476441749471262
SecuritySeb-1761378779.19879-3803,1207314080377868322
LB-1761378779.19879-1767,898591162233925682
SecuritySeb-1761378779.19879-9263,1207314080377868322
SecuritySeb-1761378779.19879-2379,1207314080377868322
SecuritySeb-1761378779.19879-3353,897476441749471262
SecuritySeb-1761378779.19879-5197,1207314080377868322
SecuritySeb-1761378779.19879-6879,897476441749471262
Yoshuze-1761378779.19879-4540,1207314080377868322
Submarine-1761378779.19879-2502,1207314080377868322
SecuritySeb-1761378779.19879-7167,1207314080377868322
SecuritySeb-1761378779.19879-9360,1207314080377868322
Robrob-1761378779.19879-9176,898591162233925682
LB-1761378779.19879-8675,898591162233925682
RPG-1761378779.19879-5319,898591162233925682
WassoiGuy-1761378779.19879-1119,1207314080377868322
Amper-1761378779.19879-4013,1207314080377868322
Rifle-1761378779.19879-7772,898591162233925682
Yoshuze-1761378779.19879-2816,803113397213462588
Kalani-1761378779.19879-3004,898591162233925682
Siber-1761378779.19879-7458,898591162233925682
Riyon-1761378779.19879-3082,898591162233925682
CA-1761378779.19879-8423,898591162233925682
Alm-1761378779.19879-4560,1207314080377868322
SecuritySeb-1761378779.19879-6922,862454269714497556
Jado-1761378779.19879-6081,803113397213462588
Pixels-1761378779.19879-8835,748888893650239578
Rob-1761378779.19879-5243,835355123341066292
BB-1761378779.19879-7720,838304838298501130
LB-1761378779.19879-9667,838304838298501130
DD-1761378779.19879-3908,838304838298501130
RB-1761378779.19879-9828,897476441749471262
Rob-1761378779.19879-9490,1207314080377868322
Jado-1761378779.19879-3357,1207314080377868322
Votekick-1761378779.19879-5257,1207314080377868322
SturgeonGod-1761378779.19879-9758,1207314080377868322
Rifle-1761378779.19879-8032,897476441749471262
Woofus-1761378779.19879-5839,897476441749471262
Pao-1761378779.19879-6239,1207314080377868322
Riyon-1761378779.19879-4874,1207314080377868322
Jurger-1761378779.19879-6562,1230130106719272980
Yoshuze-1761378779.19879-2890,1207314080377868322
RPG-1761378779.19879-9443,1207314080377868322
Doge-1761378779.19879-6262,838304838298501130
Yiobangua-1761378779.19879-7251,1230130106719272980
TB-1761378779.19879-3529,1230130106719272980
LB-1761378779.19879-3534,1207314080377868322
Korian-1761378779.19879-8487,1207314080377868322
Alm-1761378779.19879-3262,898591162233925682
Amper-1761378779.19879-2876,898591162233925682
Parachute-1761378779.19879-1695,871448305161338922
CA-1761378779.19879-3278,898591162233925682
Sloth-1761378779.19879-8100,1207314080377868322
CL-1761378779.19879-6533,1207314080377868322
Votekick-1761378779.19879-1774,1207314080377868322
Yoshuze-1761378779.19879-1859,862454269714497556
RB-1761378779.19879-2537,1207314080377868322
Pao-1761378779.19879-2219,897476441749471262
Nethy-1761378779.19879-2101,730642159731998774
Roblocky-1761378779.19879-9714,730642159731998774
BB-1761378779.19879-7537,897476441749471262
CA-1761378779.19879-7748,994823657996177458
Amiel-1761378779.19879-8316,897476441749471262
LOR-1761378779.19879-5425,897476441749471262
Riyon-1761378779.19879-1691,822625809390895114
LB-1761378779.19879-8798,1328491518620602509
Doge-1761378779.19879-9909,835355123341066292
Rob-1761378779.19879-7381,835355123341066292
TB-1761378779.19879-9773,1037009866377678878
Robrob-1761378779.19879-6896,835355123341066292
Parachute-1761378779.19879-6041,994823657996177458
Siber-1761378779.19879-3653,730642159731998774
RB-1761378779.19879-1226,897476441749471262
Yiobangua-1761378779.19879-1571,862454269714497556
Yoshuze-1761378779.19879-2479,803113397213462588
Pao-1761378779.19879-6461,994823657996177458
Roblocky-1761378779.19879-8009,730642159731998774
Amiel-1761378779.19879-6873,730642159731998774
Island-1761378779.19879-8618,730642159731998774
Malaysiasoldier2-1761378779.19879-6722,730642159731998774
Mini-1761378779.19879-4900,994823657996177458
Parachute-1761378779.19879-2936,1237244832687325305
CL-1761378779.19879-4909,1230130106719272980
TB-1761378779.19879-4279,730642159731998774
RB-1761378779.19879-9840,803113397213462588
BB-1761378779.19879-5647,730642159731998774
Kairo-1761378779.19879-5332,1230130106719272980
Korian-1761378779.19879-2224,730642159731998774
Island-1761378779.19879-4733,748888893650239578
Amper-1761378779.19879-3168,835355123341066292
DD-1761378779.19879-2577,803113397213462588
CA-1761378779.19879-6682,1207314080377868322
Concept-1761378779.19879-4599,835355123341066292
RB-1761378779.19879-4495,1207314080377868322
Nethy-1761378779.19879-3578,1207314080377868322
Jurger-1761378779.19879-4285,898591162233925682
CL-1761378779.19879-2378,898591162233925682
Alm-1761378779.19879-1954,748888893650239578
Rifle-1761378779.19879-1341,1207314080377868322
DD-1761378779.19879-2940,898591162233925682
Pao-1761378779.19879-9679,898591162233925682
Amiel-1761378779.19879-3120,748888893650239578
Yoshuze-1761378779.19879-5358,898591162233925682
Malaysiasoldier2-1761378779.19879-6491,898591162233925682
BB-1761378779.19879-6959,898591162233925682
nygiantfan-1761378779.19879-1868,898591162233925682
LB-1761378779.19879-8921,898591162233925682
Kairo-1761378779.19879-3338,897476441749471262
Pao-1761378779.19879-9669,1024266899745406986
CV-1761378779.19879-8802,899832840487841812
RTX Wass-1761378779.19879-5196,898591162233925682
Malaysiasoldier2-1761378779.19879-5741,898591162233925682
Wayne-1761378779.19879-3698,1207314080377868322
TB-1761378779.19879-6068,1207314080377868322
WassoiGuy-1761378779.19879-2255,898591162233925682
Denis-1761378779.19879-4242,898591162233925682
BallisticBlast-1761378779.19879-1578,898591162233925682
Freem-1761378779.19879-1841,1207314080377868322
Pixels-1761378779.19879-5856,1237244832687325305
Synth-1761378779.19879-2807,898591162233925682
Taxolous-1761378779.19879-8046,1207314080377868322
Wayne-1761378779.19879-9405,898591162233925682
Einherjar-1761378779.19879-4783,1207314080377868322
Jayden-1761378779.19879-2966,898591162233925682
Jado-1761378779.19879-3956,898591162233925682
Yiobangua-1761378779.19879-1711,898591162233925682
Pixels-1761378779.19879-2071,898591162233925682
Wayne-1761378779.19879-3349,898591162233925682
Doge-1761378779.19879-3199,898591162233925682
Rifle-1761378779.19879-8576,898591162233925682
Parachute-1761378779.19879-5707,898591162233925682
Mini-1761378779.19879-4812,898591162233925682
Samchaojack-1761378779.19879-4854,898591162233925682
Woofus-1761378779.19879-5291,898591162233925682
Synth-1761378779.19879-4820,898591162233925682
Einherjar-1761378779.19879-2367,994823657996177458
BallisticBlast-1761378779.19879-1001,871448305161338922
WassoiGuy-1761378779.19879-1063,1207314080377868322
Wayne-1761378779.19879-1735,940613177178198046
Doge-1761378779.19879-6911,994823657996177458
Quadratine-1761378779.19879-8234,1207314080377868322
Jurger-1761378779.19879-4065,898591162233925682
WassoiGuy-1761378779.19879-3609,940613177178198046
Yiobangua-1761378779.19879-5788,994823657996177458
BallisticBlast-1761378779.19879-7792,940613177178198046
Pixels-1761378779.19879-8053,940613177178198046
Pao-1761378779.19879-2332,730642159731998774
Mini-1761378779.19879-7737,838304838298501130
BB-1761378779.19879-9333,897476441749471262
Kalani-1761378779.19879-5377,898591162233925682
BallisticBlast-1761378779.19879-6753,940613177178198046
Siber-1761378779.19879-1691,897476441749471262
Doge-1761378779.19879-5482,1207314080377868322
Parachute-1761378779.19879-2844,1207314080377868322
Korian-1761378779.19879-3941,803113397213462588
Kairo-1761378779.19879-6236,748888893650239578
CA-1761378779.19879-1447,748888893650239578
Kairo-1761378779.19879-6169,1207314080377868322
Alm-1761378779.19879-4289,897476441749471262
Amiel-1761378779.19879-9633,1207314080377868322
CL-1761378779.19879-2546,1207314080377868322
Alm-1761378779.19879-6611,897476441749471262
LB-1761378779.19879-1027,822625809390895114
Pixels-1761378779.19879-4618,1207314080377868322
RPG-1761378779.19879-8404,1207314080377868322
CL-1761378779.19879-9646,1207314080377868322
Yoshuze-1761378779.19879-3140,835355123341066292
Siber-1761378779.19879-6376,1207314080377868322
Yoshuze-1761378779.19879-3996,835355123341066292
Mini-1761378779.19879-4043,835355123341066292
LOR-1761378779.19879-2828,1207314080377868322
Submarine-1761378779.19879-3389,835355123341066292
TB-1761378779.19879-2759,862454269714497556
Yoshuze-1761378779.19879-5813,1207314080377868322
Kairo-1761378779.19879-8083,835355123341066292
Roblocky-1761378779.19879-3302,862454269714497556
Samchaojack-1761378779.19879-4808,835355123341066292
LOR-1761378779.19879-1310,994823657996177458
LB-1761378779.19879-9037,897476441749471262
Mini-1761378779.19879-1297,897476441749471262
Jayden-1761378779.199818-9663,994823657996177458
Robrob-1761378779.199818-3993,897476441749471262
BB-1761378779.199818-6516,897476441749471262
LB-1761378779.199818-2501,835355123341066292
Amiel-1761378779.199818-3517,835355123341066292
